ID,English,Spanish,German,French,Italian
1,Making It Better,Haciéndolo Mejor ,Es Besser Machen ,Le Rendre Meilleur ,Rendendolo Migliore 
2,Health,Salud,,,
3,Education,Educacion,,,
4,Goods,Bienes,,,
5,Money,Dinero,,,
6,Help,Ayuda,,,
7,"Roll the dice, balance your resources, and achieve your objectives!!!!",Así es como se juega el juego Así es como se juega el juego Así es como se juega el juego Así es como se juega el juego,,,
8,Objectives,Objetivos,,,
9,Options,Opciones,,,
10,Fullscreen:,Pantalla completa:,,,
11,Resolution:,Resolucion:,,,
12,Language:,Idioma:,,,
13,Next Up:,Siguiente:,,,
14,Click To Roll,Haga clic para rodar,,,
15,Movement Left:,Movimiento hacia la izquierda:,,,
16,End Turn,Fin del turno,,,
17,960 x 540,960 x 540,960 x 540,,
18,1280 x 720,1280 x 720,1280 x 720,,
19,1920 x 1080,1920 x 1080,1920 x 1080,,
20,Round 1: January,Ronda 1: enero,,,
21,Round 2: February,Ronda 2: febrero,,,
22,Round 3: March,Ronda 3: marzo,,,
23,Round 4: April,Ronda 4: abril,,,
24,Round 5: May,Ronda 5: mayo,,,
25,Round 6: June,Ronda 6: junio,,,
26,Round 7: July,Ronda 7: julio,,,
27,Round 8: August,Ronda 8: agosto,,,
28,Round 9: September,Ronda 9: septiembre,,,
29,Round 10: October,Ronda 10: octubre,,,
30,Round 11: November,Ronda 11: noviembre,,,
31,Final Round: December,Ronda final: diciembre,,,
